Film_title,Release_year,Director,Genres,Owner_rating,Average_rating,Runtime,Countries,Original_Language,Spoken_Languages,Watches,List_Appearances,Likes,Cast,Studios,Letterboxd URL
Bullet Train,2022,David Leitch,"['Thriller', 'Comedy', 'Action']",3.5,3.52,127,['USA'],English,"['English', 'Japanese', 'Russian', 'Spanish']",1052879,132772,341008,"['Brad Pitt', 'Joey King', 'Aaron Taylor-Johnson', 'Brian Tyree Henry', 'Andrew Koji', 'Hiroyuki Sanada', 'Michael Shannon', 'Bad Bunny', 'Sandra Bullock', 'Zazie Beetz', 'Logan Lerman', 'Masi Oka', 'Karen Fukuhara', 'Kevin Akiyoshi Ching', 'Minchi Murakami', 'Kaori Taketani', 'Toshitaka Katsumi', 'Jim Garrity', 'Emelina Adams', 'Jenson Cheng', 'Nobuaki Shimamoto', 'Yoshi Sudarso', 'Johanna Watts', 'Ian Martinez', 'Tania Verafield', 'Pancho Cardena', 'Julio Gabay', 'Andrea Muñoz', 'Nancy Daly', 'Arnold Chun', 'Naomi Matsuda', 'Benmio McCrea', 'Pasha D. Lychnikoff', 'Joshua Johnson-Payne', 'Miles Marz', 'Michelle Lee', 'Parker Lin', 'Garland Scott', 'Jason Matthew Smith', 'Zooey Miyoshi', 'Kamil Aydin', 'David Leitch', 'Channing Tatum', 'Ryan Reynolds', 'RiRia']","['87North Productions', 'Columbia Pictures']",https://letterboxd.com//film/bullet-train/
Rocky,1976,John G. Avildsen,"['Drama', 'Romance']",4,4.07,119,['USA'],English,['English'],715814,122325,189317,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith', 'Thayer David', 'Joe Spinell', 'Jimmy Gambina', 'Bill Baldwin', 'Al Silvani', 'George Memmoli', 'Jodi Letizia', 'Diana Lewis', ""George O'Hanlon"", 'Larry Carroll', 'Stan Shaw', 'Don Sherman', 'Billy Sands', 'Pedro Lovell', 'DeForest Covan', 'Simmy Bow', 'Tony Burton', 'Hank Rolike', ""Shirley O'Hara"", 'Kathleen Parker', 'Frank Stallone Jr.', 'Lloyd Kaufman', 'Jane Marla Robbins', 'Jack Hollander', 'Joe Sorbello', 'Christopher Avildsen', 'Frankie Van', 'Lou Fillipo', 'Paris Eagle', 'Frank Stallone Sr.', 'Robert L. Tangrea', 'Peter Glassberg', 'William E. Ring', 'Joseph C. Giambelluc', 'Joe Frazier', 'Michael Dorn', 'Arnold Johnson', 'Stu Nahan', 'Frank Pesce', 'Lavelle Roby', 'Arthur Tovey', 'John Pleshette']",['Winkler Films'],https://letterboxd.com//film/rocky/
Spider-Man: Into the Spider-Verse,2018,"Rodney Rothman, Peter Ramsey","['Adventure', 'Animation', 'Science Fiction', 'Action']",4.5,4.43,117,['USA'],English,"['English', 'Japanese', 'Spanish']",2755433,404099,1424981,"['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali', 'Brian Tyree Henry', 'Lily Tomlin', 'Luna Lauren Velez', 'Zoë Kravitz', 'John Mulaney', 'Kimiko Glenn', 'Nicolas Cage', 'Kathryn Hahn', 'Liev Schreiber', 'Chris Pine', 'Natalie Morales', 'Edwin H. Bravo', 'Oscar Isaac', 'Greta Lee', 'Stan Lee', 'Jorma Taccone', 'Joaquín Cosío', ""Marvin 'Krondon' Jones III"", 'Kim Yarbrough', 'Lake Bell', 'Jessica Mikayla Adams', 'Gredel Berrios Calladine', 'Sarah D. Cole', 'Kelby Joseph', 'Mimi Davila', 'Claudia Choi', 'Melanie Haynes', 'Joseph Izzo', 'Nick Jaine', 'Muneeb Rehman', 'Carlos Zaragoza', 'Post Malone', 'David Applebee', 'Juan Carlos Arvelo', 'Adam Brown', 'Jon Bruno', 'Darcy Rose Byrnes', 'Oscar Camacho', 'June Christopher', 'Alycia Cooper', 'Michelle Jubilee Gonzalez', 'Terrence Hardy Jr.', 'Bridget Hoffman', 'Rif Hutton', 'Miguel Jiron', 'Harrison Knight', 'Lex Lang', 'Donna Lynn Leavy', 'Andrew Leviton', 'Caitlin McKenna', 'Scott Menville', 'Christopher Miller', 'Arthur Ortiz', 'Juan Pacheco', 'Devika Parikh', ""Shakira Ja'nai Paye"", 'Courtney Peldon', 'Chrystee Pharris', 'Jacqueline Pinol', 'Juan Pope', 'Al Rodrigo', 'Joseph Sanfelippo', 'Justin Shenkarow', 'Dennis Singletary', 'Warren Sroka', 'Melissa Sturm', 'Holly Walker', 'Jason Linere-White', 'Ruth Zalduondo']","['Columbia Pictures', 'Lord Miller', 'Pascal Pictures', 'Sony Pictures Animation', 'Arad Productions']",https://letterboxd.com//film/spider-man-into-the-spider-verse/
Spider-Man,2002,Sam Raimi,"['Action', 'Fantasy']",4,3.75,121,['USA'],English,['English'],1920184,203552,483467,"['Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson', 'Rosemary Harris', 'J.K. Simmons', 'Joe Manganiello', 'Gerry Becker', 'Bill Nunn', 'Jack Betts', 'Stanley Anderson', 'Ron Perkins', 'Michael Papajohn', 'K.K. Dodds', 'Ted Raimi', 'Bruce Campbell', 'Elizabeth Banks', 'John Paxton', 'Tim DeZarn', 'Taylor Gilbert', 'Randy Savage', 'Larry Joshua', 'Timothy Patrick Quill', 'Lisa Danielle', 'Natalie T. Yeo', 'Erica D. Porter', 'Kristen Davidson', 'Jason Padgett', 'Shan Omar Huey', 'Sally Levi', 'Evan Arnold', 'Jill Sayre', 'Jim Ward', 'David Holcomb', 'Octavia Spencer', 'Brad Grunberg', 'Shane Habberstad', 'Deborah Wakeham', 'Rachael Bruce', 'Mackenzie Bryce', 'Julia Barrie', 'Macy Gray', 'Myk Watford', 'Bill Calvert', 'Sylva Kelegian', 'Kristen Marie Holly', 'Ajay Mehta', 'Peter Appel', 'Scott Spiegel', 'Matt Smith', 'Sara Ramirez', 'Lucy Lawless', 'Jayce Bartok', 'Maribel González', 'Amy Bouril', ""Joseph D'Onofrio"", 'Jim Norton', 'Corey Mendell Parker', 'Ashley Edner', 'William Joseph Firth', 'Alex Black', 'Laura Gray', 'Joe Virzi', 'Michael Edward Thomas', 'Jeanie Fox', 'Robert Kerman', 'Stan Lee', 'Una Damon', 'Rick Avery', 'Peter Aylward', 'Jillian Clare', 'Chris Coppola', 'Jesse Heiman', 'Leroy Patterson', 'Benny Urquidez', 'Scott L. Schwartz', 'Jophery C. Brown', 'Brian J. Williams', 'Mark De Alessandro', 'Tia Dionne Hodge', 'Loren Janes', 'Andray Johnson', 'Martin Pfefferkorn', 'Tammi Sutton', 'Lindsay Thompson', 'Sean Valla', 'Pete Macnamara', 'Al Goto', 'Joni Avery', 'Sam Raimi']","['Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures']",https://letterboxd.com//film/spider-man/
Spider-Man: Across the Spider-Verse,2023,"Joaquim Dos Santos, Justin K. Thompson","['Animation', 'Science Fiction', 'Adventure', 'Action']",5,4.49,140,['USA'],English,"['English', 'Hindi', 'Italian', 'Spanish']",1515986,299753,787855,"['Shameik Moore', 'Hailee Steinfeld', 'Jason Schwartzman', 'Oscar Isaac', 'Brian Tyree Henry', 'Luna Lauren Velez', 'Jake Johnson', 'Issa Rae', 'Karan Soni', 'Shea Whigham', 'Greta Lee', 'Amandla Stenberg', 'Jharrel Jerome', 'Andy Samberg', 'Jack Quaid', 'Rachel Dratch', 'Ziggy Marley', 'Jorma Taccone', 'Daniel Kaluuya', 'Mahershala Ali', 'J.K. Simmons', 'Donald Glover', 'Elizabeth Perkins', 'Kathryn Hahn', 'Ayo Edebiri', 'Nicole Delaney', 'Antonina Lentini', 'Atsuko Okatsuka', 'Peter Sohn', 'Melissa Sturm', 'Lorraine Velez', 'Nic Novicki', 'Taran Killam', 'Metro Boomin', 'Josh Keaton', 'Sofia Barclay', 'Danielle Perez', 'Yuri Lowenthal', 'Rita Rani Ahuja', 'Ismail Bashey', 'Oscar Camacho', 'Freddy Ferrari', 'Kerry Gutierrez', 'Kamal Khan', 'Angelo Sekou Kouyate', 'Andrew Leviton', 'David Michie', 'Sumit Naig', 'Juan Pacheco', 'Chrystee Pharris', 'Ben Pronsky', 'Al Rodrigo', 'Stan Sellers', 'Warren Sroka', 'Jasper Johannes Andrews', 'Gredel Berrios Calladine', 'Natalia Castellanos', 'Russell Tyre Francis', 'Deepti Gupta', 'Sohm Kapila', 'Pradnya Kuwadekar', 'Ashley London', 'Christopher Miller', 'Andrea Navedo', 'Lakshmi Patel', 'Jacqueline Pinol', 'Eliyas Qureshi', 'Lashana Rodriguez', 'Jaswant Dev Shrestha', 'Libby Thomas Dickey', 'Jason Linere-White', 'Sitara Attaie', 'Mayuri Bhandari', 'June Christopher', 'Michelle Jubilee Gonzalez', 'Marabina Jaimes', 'Rez Kempton', 'Lex Lang', 'Phil Lord', 'Richard Miro', 'Doug Nicholas', ""Shakira Ja'nai Paye"", 'James Pirri', 'Marley Ralph', 'Michelle Ruff', 'Dennis Singletary', 'Amanda Troop', 'Ruth Zalduondo', 'Kimberly Bailey', 'Sanjay Chandani', 'Melanie Duke', 'Jorge R. Gutierrez', 'Miguel Jiron', 'Deepti Kingra-Mickelsen', 'Luisa Leschin', 'Caitlin McKenna', 'Andrew Morgado', 'Arthur Ortiz', 'Eliana A. Perez', 'Juan Pope', 'Mike Rianda', 'Erika Scopelli', 'Narender Sood', 'Cedric L. Williams', 'Kimiko Glenn', 'Peggy Lu', 'Andrew Garfield', 'Denis Leary', 'Tobey Maguire', 'Cliff Robertson', 'Alfred Molina', 'Post Malone']","['Columbia Pictures', 'Sony Pictures Animation', 'Lord Miller', 'Pascal Pictures', 'Arad Productions']",https://letterboxd.com//film/spider-man-across-the-spider-verse/
Spider-Man 2,2004,Sam Raimi,"['Action', 'Fantasy', 'Adventure']",5,3.87,127,['USA'],English,"['English', 'Russian', 'Chinese']",1762875,213355,438877,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Alfred Molina', 'Rosemary Harris', 'J.K. Simmons', 'Donna Murphy', 'Daniel Gillies', 'Dylan Baker', 'Bill Nunn', 'Vanessa Ferlito', 'Aasif Mandvi', 'Willem Dafoe', 'Cliff Robertson', 'Ted Raimi', 'Elizabeth Banks', 'Bruce Campbell', 'Gregg Edelman', 'Elya Baskin', 'Mageina Tovah', 'Daniel Dae Kim', 'Hal Sparks', 'Joel McHale', 'Stan Lee', 'Kelly Connell', 'Brent Briscoe', 'Emily Deschanel', 'Jason Fiore-Ortiz', 'Scott Spiegel', 'Andy Bale', 'Christine Estabrook', 'Molly Cheek', 'John Paxton', 'Joy Bryant', 'Joanne Baron', 'Peter McRobbie', 'Timothy Jerome', 'Taylor Gilbert', 'Peter Vouras', 'Donnell Rawlings', 'Zachry Rogers', 'Ella Rogers', 'Louis Lombardi', 'Marc John Jefferies', 'Roshon Fegan', 'Brendan Patrick Connor', 'Reed Diamond', 'Dan Callahan', 'Elyse Dinh', 'John Landis', 'Tim Storms', 'Susie Park', 'Patricia M. Peters', 'Michael Edward Thomas', 'Anne Betancourt', 'Venus Lam', 'Bill E. Rogers', 'Joe Virzi', 'Tom Carey', 'Jopaul Van Epp', 'Weston Epp', 'Peter Allas', 'Brianna Brown', 'Bill Calvert', 'Tony Campisi', 'Joey Diaz', 'Chloe Dykstra', 'Simone Gordon', 'Dan Hicks', 'Julia Max', 'Savannah Pope', 'Timothy Patrick Quill', 'Jill Sayre', 'Rickey G. Williams', 'Michael Arthur', 'Frank Bonsangue', 'Cindy Cheung', 'Phil LaMarr', 'Calvin Dean', 'Andre M. Johnson', 'Peter Cincotti', 'Peyton List', 'Spencer List', 'Troy Metcalf', 'Scott Ross', 'Bonnie Somerville', 'Wesley Volcy', 'Lou Volpe', 'Garrett Warren', 'Joseph M. Caracciolo']","['Marvel Enterprises', 'Laura Ziskin Productions', 'Columbia Pictures']",https://letterboxd.com//film/spider-man-2/
Spider-Man 3,2007,Sam Raimi,"['Fantasy', 'Adventure', 'Action']",5,2.97,139,['USA'],English,"['English', 'French']",1331668,153256,220100,"['Tobey Maguire', 'Kirsten Dunst', 'James Franco', 'Thomas Haden Church', 'Topher Grace', 'Bryce Dallas Howard', 'Rosemary Harris', 'J.K. Simmons', 'James Cromwell', 'Dylan Baker', 'Theresa Russell', 'Bill Nunn', 'Bruce Campbell', 'Elizabeth Banks', 'Ted Raimi', 'Perla Haney-Jardine', 'Willem Dafoe', 'Cliff Robertson', 'Elya Baskin', 'Mageina Tovah', 'John Paxton', 'Becky Ann Baker', 'Stan Lee', 'Michael Papajohn', 'Joe Manganiello', 'Hal Fishman', 'Lucy Gordon', 'Steve Valentine', 'Tim Maculan', 'Marc Vann', 'Joe Bays', 'Gregg Daniel', 'Rogelio T. Ramos', 'Timothy Patrick Quill', 'Menachem Mendel Boymelgreen', 'Nasir Stewart', 'Austin Hendrickson', 'Taylor Hemhauser', 'Kathryn Bryding', 'Joe Virzi', 'Bill E. Rogers', 'Michael Alexander', 'April Parker Jones', 'Edward Padilla', 'Robert Curtis Brown', 'Paul Terrell Clayton', 'Carolyn Neff', 'Christina Cindrich', 'Sonya Maddox', 'Andre B. Blake', ""Derrick 'Phoenix' Thomas"", 'Jessi Collins', 'Michael McLaughlin', 'Anne Gartlan', 'Emilio Rivera', 'Keith Woulard', 'Reynaldo Gallegos', 'Jim Coope', 'Dean Edwards', 'Margaret Laney', 'Toni Wynne', 'Aimee Miles', 'Tanya Bond', 'Mark Kubr', 'Emma Raimi', 'Lorne Raimi', 'Henry Raimi', 'Alan Cohn', 'Dan Callahan', 'Daniel Cummings', 'Ron King', 'Carol Chaikin', 'Vance Hammond', 'Frank Anello', 'Anya Avaeva', 'David Backus', 'Tony Besson', 'Michael Ciesla', 'Irina Costa', 'John Crann', 'Crystal Marie Denha', 'Amy V. Dewhurst', 'Paul Edney', 'Keith Fausnaught', 'Logan Fry', 'Kevin Fung', 'Tony Galtieri', 'Brian Hopson', 'Andrew James Jones', 'Natalie Jones', 'Christopher Jude', 'Brittany Krall', 'Pierangeli Llinas', 'Bernadette Lords', 'Natalie McNeil', 'Martha Millan', 'Michele-Nanette Miller', 'Claudia Katz Minnick', 'Jen Oda', 'Anjelia Pelay', 'Nick Poltoranin', 'Vanessa Reseland', 'La Rivers', 'Bria Roberts', 'Vanessa Ross', 'Brenna Roth', 'Shade Rupe', 'Daniel Shafer', 'Abbey Skinner', 'Kristin Somo', 'Jennifer Sparks', 'Christopher Stadulis', 'Arne Starr', 'Aija Terauda', 'Evelyn Vaccaro', 'Nick Vlassopoulos', 'Sincerely A. Ward', 'Jennifer Weston', 'Ray Wineteer', 'Emily Eckes', 'Samantha Ressler']","['Laura Ziskin Productions', 'Marvel Studios', 'Columbia Pictures']",https://letterboxd.com//film/spider-man-3/
Spider-Man: No Way Home,2021,Jon Watts,"['Action', 'Adventure', 'Science Fiction']",4,3.86,148,['USA'],English,"['English', 'Tagalog']",2292194,371736,921335,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori', 'Marisa Tomei', 'Andrew Garfield', 'Tobey Maguire', 'Angourie Rice', 'Arian Moayed', 'Paula Newsome', 'Hannibal Buress', 'Martin Starr', 'J.B. Smoove', 'J.K. Simmons', 'Rhys Ifans', 'Charlie Cox', 'Thomas Haden Church', 'Emily Fong', 'Mary Rivera', 'Rudy Eisenzopf', 'Kathleen Cardoso', 'Jonathan Sam', 'Andrew Dunlap', 'Ben VanderMey', 'Zany Dunlap', 'B. Clutch Dunlap', 'Minnah Dunlap', 'Gary Weeks', 'Gregory Konow', 'Carol Anne Dines', 'Anisa Nyell Johnson', 'Willie Burton', 'Mallory Hoff', 'Greg Clarkson', 'Regina Ting Chen', 'Robert Mitchel Owenby', 'Glenn Keogh', 'Paris Benjamin', 'Jwaundace Candece', 'Taylor St. Clair', 'Gabriella Cila', 'Darnell Appling', 'Rolando Fernandez', 'Edward Force', 'Michael Le', 'Dean Meminger', 'Frederick A. Brown', 'Cristo Fernández', 'Clay Savage', 'Tom Hardy', 'Jake Gyllenhaal', 'Jay Karales', 'Gina Aponte', 'John Barnes', 'Harry Holland', 'Haroon Khan']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",https://letterboxd.com//film/spider-man-no-way-home/
Spider-Man: Far from Home,2019,Jon Watts,"['Adventure', 'Science Fiction', 'Action']",3,3.37,129,['USA'],English,"['English', 'Czech', 'Dutch', 'German', 'Italian']",1868231,294308,485378,"['Tom Holland', 'Samuel L. Jackson', 'Jake Gyllenhaal', 'Marisa Tomei', 'Jon Favreau', 'Zendaya', 'Jacob Batalon', 'Tony Revolori', 'Angourie Rice', 'Remy Hii', 'Martin Starr', 'J.B. Smoove', 'Jorge Lendeborg Jr.', 'Cobie Smulders', 'Numan Acar', 'Zach Barack', 'Zoha Rahman', 'Yasmin Mwanza', 'Joshua Sinclair-Evans', 'Tyler Luke Cunningham', 'Sebastián Viveros', 'Toni Garrn', 'Peter Billingsley', 'Clare Dunne', 'Nicholas Gleaves', 'Claire Rushbrook', 'J.K. Simmons', 'Dawn Michelle King', 'Jeroen van Koningsbrugge', 'Michael de Roos', 'Jan-Paul Buijs', 'Sergio Pierattini', 'Anjana Vasan', 'Brian Law', 'Evelyn Mok', 'Tatiana Lunardon', 'Giada Benedetti', 'Lukáš Bech', 'Alessandro Giuggioli', 'Petr Opava', 'Giuseppe Andriolo', 'Pat Kiernan', 'Shari Abdul', 'Mari Alexandrova', 'Kristen Alminta', 'Vincent Angel', 'Peter Arpesella', 'Lasco Atkins', 'Sitara Attaie', 'Peter Bankolé', 'Blair Barnette', 'Tuwaine Barrett', 'Anna Benamati', 'Avondre E.D. Beverley', 'Bruno Bilotta', 'Sharon Blynn', 'Luigi Boccanfuso', 'Paolo Braghetto', 'Dante Brattelli', 'Jeff Bridges', 'Graham Burton', 'Ken Byrd', 'Sokol Cahani', 'Gianni Calchetti', 'Darren Lee Campbell', 'Hélène Cardona', 'Dian Cathal', 'Jake Cerny', 'Daphne Cheung', 'Sam Chuck', 'Victoria Coburn', 'Kimberly Collison', 'Tiziana Coste', 'Jaylen Davis', 'Kristianne-Kaith Domingo', 'Andrew Dunkelberger', 'Charlie Esquér', 'Ria Fend', 'Ferroz Fernandez', 'Vincent Frattini', 'Massi Furlan', 'Cynthia Garbutt', 'Thomas Goodridge', 'Sonia Goswami', 'Nicholle Hembra', 'Michael Hennessy', 'Meagan Holder', 'Patrick Doran', 'Ruth Clarson', 'Chris Hyacinthe', 'Michael Iacono', 'Roman Ibragimov', 'Theo Ip', 'Timothy Christian Jansen', 'Keon Kendrick', 'Camille Kinloch', 'Michal Kubal', 'Hannah Kurczeski', 'Géraldine Lamarre', 'Jimena Larraguivel', 'Rich Lawton', 'Kat Leroy', 'Gavin Lee Lewis', 'Patrick Loh', 'Joseph Long', 'Marian Lorencik', 'Ketan Majmudar', 'Tony Mardon', 'Antonín Mašek', 'Eustace Meade', 'Ben Mendelsohn', 'Bradley Wj Miller', 'Melissa Beth Miller', 'Anthony Molinari', 'Julia Mollin', 'Adrian Mozzi', 'Brendan Murphy', 'Amanda Musso', 'Emily Ng', 'Daniel Olson', 'Karen Parks', 'Hiten Patel', 'Clay Pel-is', 'Luigi Petrazzuolo', 'Aleksandrs Petukhovs', 'Annie Pisapia', 'Martin Polak', 'Jivan Xander Ramesh', 'Mike Ray', 'Sofia Renee', 'Daniel Rennis', 'Sawyer Reo', 'Cailan Robinson', 'Emmanuel Rodriguez', 'Ray Rosario', 'Daniel Ryves', 'Maurice Sardison', 'Susanne Schraps', 'Karen-J Sear', 'Ilya Tank Shilov', 'Davina Sitaram', 'Joakim Skarli', 'Paul Slim', 'Richard Stanley', 'Lucas Antoine Starrets', 'Faith Tarby', 'Emily Tebbutt', 'Oskar Ulvestad', 'Lesdy Vanessa', 'Jessica VanOss', 'Joe David Walters', 'Jo Wheatley', 'Dale Wilder', 'Rocco Wu', 'Jan Zalabak', 'Samantha Mishinski', 'Alessandro Sciarra', 'Aristou Meehan', 'Eric Patrick Cameron']","['Marvel Studios', 'Pascal Pictures', 'Columbia Pictures']",https://letterboxd.com//film/spider-man-far-from-home/
The Amazing Spider-Man,2012,Marc Webb,"['Fantasy', 'Adventure', 'Action']",4,3.24,136,['USA'],English,['English'],1432168,153406,281707,"['Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Martin Sheen', 'Sally Field', 'Denis Leary', 'Irrfan Khan', 'Max Charles', 'Campbell Scott', 'Embeth Davidtz', 'Chris Zylka', 'C. Thomas Howell', 'Jake Keiffer', 'Hannah Marks', 'Kari Coleman', 'Michael Barra', 'Leif Gantvoort', 'Andy Pessoa', 'Kelsey Asbille', 'Kevin McCorkle', 'Andy Gladbach', 'Ring Hendricks-Tellefsen', 'Barbara Eve Harris', 'Stan Lee', 'Danielle Burgio', 'Tom Waite', 'Keith Campbell', 'Steve DeCastro', 'Jill Flint', 'Mark Daugherty', 'Milton González', 'Skyler Gisondo', 'Charlie DePew', 'Jacob Rodier', 'Vincent Laresca', 'Damien Lemon', 'Ty Upshaw', 'James Chen', 'Alexander Bedria', 'Tia Texada', 'Jay Caputo', 'John Burke', 'Terry Bozeman', 'Jennifer Lyons', 'Michael Massee', 'Amber Stevens West', 'Max Bogner', 'Ethan Cohn', 'Miles Elliot', 'Miranda LaDawn Hill', 'Amanda MacDonald', 'Maury Morgan', 'Michael Papajohn']","['Marvel Entertainment', 'Laura Ziskin Productions', 'Columbia Pictures', 'Matt Tolmach Productions', 'Arad Productions']",https://letterboxd.com//film/the-amazing-spider-man/
